time_ms,cpu_usage,workers_active
17956,100.00,8
17969,100.00,8
17981,100.00,8
17994,100.00,8
18006,100.00,8
18019,100.00,8
18032,100.00,8
18044,100.00,8
18056,100.00,8
18069,100.00,8
18081,100.00,8
18094,100.00,8
18106,100.00,8
18119,100.00,8
18131,100.00,8
18144,100.00,8
18156,100.00,8
18168,100.00,8
18181,100.00,8
18191,100.00,8
18204,100.00,8
18216,80.00,8
18229,80.00,8
18241,100.00,8
18252,100.00,8
18265,100.00,8
18276,100.00,8
18288,100.00,8
18298,100.00,8
18311,100.00,8
18324,100.00,8
18336,100.00,8
18348,100.00,8
18360,100.00,8
18373,100.00,8
18386,100.00,8
18398,100.00,8
18410,100.00,8
18423,100.00,8
18436,100.00,8
18448,100.00,7
18458,100.00,8
18470,100.00,8
18482,100.00,8
18495,100.00,8
18507,100.00,8
18519,100.00,8
18531,100.00,8
18543,100.00,8
18556,100.00,8
18567,100.00,8
18580,100.00,8
18591,100.00,8
18604,100.00,8
18616,100.00,8
18629,100.00,8
18641,100.00,8
18654,100.00,8
18666,100.00,8
18678,100.00,8
18691,100.00,8
18703,100.00,8
18716,100.00,8
18727,100.00,8
18740,100.00,8
18752,100.00,8
18765,100.00,8
18777,80.00,8
18790,80.00,8
18802,80.00,8
18813,80.00,8
18825,80.00,8
18836,80.00,8
18848,80.00,8
18860,80.00,8
18873,80.00,8
18886,80.00,8
18898,80.00,8
18910,80.00,8
18923,100.00,8
18936,100.00,8
18948,100.00,8
18958,100.00,8
18971,100.00,8
18983,100.00,8
18994,100.00,8
19006,100.00,8
19019,100.00,8
19031,100.00,8
19044,100.00,8
19056,100.00,8
19068,100.00,8
19081,100.00,8
19092,100.00,8
19105,100.00,8
19118,100.00,8
19130,80.00,8
19143,80.00,8
19155,80.00,8
19166,80.00,8
19179,80.00,8
19191,100.00,8
19203,100.00,8
19216,100.00,8
19228,100.00,8
19241,100.00,8
19253,100.00,8
19265,100.00,8
19277,100.00,8
19290,100.00,8
19302,100.00,8
19314,100.00,8
19326,100.00,8
19336,100.00,8
